gene	mean	sd	cv
YER017C	3.63081657762588e-19	0.442747931665583	1219416960895028480
YGL261C	0.000167630057803471	0.544295363444357	3247.00337503007
YBR102C	0.000176470588235295	0.396734411824751	2248.16166700691
YOL104C	0.000595238095238093	0.691236774412749	1161.27778101342
YHR034C	0.000639534883720929	0.609286946155371	952.703224897491
YPL174C	0.00113375796178344	0.674804331521571	595.192584544308
YJR046W	0.00119767441860465	0.672916717034683	561.852792863911
YGR226C	0.00169325153374232	0.867036775184351	512.054327373369
YOL038W	0.00137278106508875	0.671554103388945	489.192428761776
YJR151C	0.000755813953488375	0.30948931472817	409.478170255732
